DateTime,Description,Merchant,Category_Code,Category_Name,Type,Amount_EUR,Payment_Method
1/9/24 10:47,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-2.25,Card
1/9/24 10:59,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-22.76,Card
1/9/24 11:41,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-56.47,Card
1/9/24 20:51,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-19.65,Card
1/9/24 22:22,Travel Purchase,Ryanair,TRV,Travel,Expense,-6.9,Direct Debit
1/10/24 7:52,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.05,Mobile Payment
1/10/24 8:27,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.43,Direct Debit
1/10/24 10:42,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.55,Card
1/10/24 13:36,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-23.02,Direct Debit
1/10/24 14:14,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-20.62,Card
1/11/24 8:53,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-23.85,Card
1/11/24 15:43,Travel Purchase,Ryanair,TRV,Travel,Expense,-6.89,Card
1/11/24 19:30,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-18.9,Direct Debit
1/12/24 9:25,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-3.06,Card
1/12/24 11:37,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-25.87,Mobile Payment
1/12/24 14:02,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.53,Card
1/12/24 16:26,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-2.08,Direct Debit
1/13/24 8:15,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-7.17,Card
1/13/24 17:53,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-13.52,Card
1/15/24 9:09,Travel Purchase,Ryanair,TRV,Travel,Expense,-8.6,Mobile Payment
1/15/24 9:29,Travel Purchase,Ryanair,TRV,Travel,Expense,-7.77,Direct Debit
1/15/24 12:17,Travel Purchase,Booking.com,TRV,Travel,Expense,-31.0,Direct Debit
1/16/24 11:54,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-23.69,Card
1/16/24 14:23,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.16,Direct Debit
1/16/24 21:43,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-24.44,Direct Debit
1/17/24 9:21,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.57,Card
1/17/24 18:13,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-3.05,Direct Debit
1/18/24 17:22,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-20.13,Card
1/19/24 11:54,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-21.96,Mobile Payment
1/19/24 13:18,Medical Purchase,Pharmacy,MED,Medical,Expense,-12.71,Mobile Payment
1/19/24 13:21,Travel Purchase,Ryanair,TRV,Travel,Expense,-6.49,Mobile Payment
1/19/24 18:37,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-22.66,Card
1/19/24 20:14,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-15.5,Mobile Payment
1/19/24 22:16,Travel Purchase,Ryanair,TRV,Travel,Expense,-7.21,Card
1/20/24 7:19,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-5.3,Direct Debit
1/20/24 10:38,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-22.43,Direct Debit
1/20/24 21:42,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-7.86,Direct Debit
1/20/24 22:14,Medical Purchase,Pharmacy,MED,Medical,Expense,-13.33,Direct Debit
1/21/24 9:12,Travel Purchase,Booking.com,TRV,Travel,Expense,-34.74,Mobile Payment
1/21/24 20:17,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-28.13,Mobile Payment
1/21/24 20:47,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-5.67,Card
1/22/24 10:16,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-19.58,Direct Debit
1/22/24 18:34,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-20.2,Mobile Payment
1/22/24 19:07,Travel Purchase,Booking.com,TRV,Travel,Expense,-35.63,Mobile Payment
1/22/24 22:44,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-22.11,Card
1/23/24 10:47,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.54,Card
1/23/24 15:28,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-29.4,Direct Debit
1/23/24 18:34,Medical Purchase,Pharmacy,MED,Medical,Expense,-12.08,Mobile Payment
1/24/24 14:44,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-18.78,Mobile Payment
1/24/24 22:55,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-50.65,Card
1/25/24 7:26,Medical Purchase,Pharmacy,MED,Medical,Expense,-12.02,Card
1/25/24 14:26,Travel Purchase,Booking.com,TRV,Travel,Expense,-35.21,Card
1/25/24 16:36,Travel Purchase,Booking.com,TRV,Travel,Expense,-29.88,Mobile Payment
1/26/24 9:17,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-20.65,Mobile Payment
1/26/24 10:24,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.46,Card
1/26/24 13:18,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-8.83,Direct Debit
1/26/24 16:52,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.47,Card
1/26/24 19:39,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-5.69,Card
1/27/24 13:07,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-20.74,Card
1/27/24 13:15,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.51,Direct Debit
1/27/24 16:38,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-17.3,Mobile Payment
1/27/24 17:27,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-6.96,Mobile Payment
1/27/24 20:19,Travel Purchase,Ryanair,TRV,Travel,Expense,-8.09,Direct Debit
1/28/24 7:41,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-23.36,Direct Debit
1/28/24 9:30,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-16.04,Mobile Payment
1/28/24 13:07,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-25.04,Direct Debit
1/28/24 16:44,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-24.44,Direct Debit
1/28/24 20:09,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.18,Direct Debit
1/28/24 21:41,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.43,Direct Debit
1/29/24 7:44,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.5,Direct Debit
1/29/24 9:35,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-6.4,Direct Debit
1/29/24 14:36,Travel Purchase,Booking.com,TRV,Travel,Expense,-32.07,Card
1/29/24 15:49,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.53,Card
1/29/24 16:36,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-19.73,Mobile Payment
1/29/24 18:56,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.43,Direct Debit
1/30/24 14:05,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-6.48,Mobile Payment
1/30/24 15:33,Travel Purchase,Ryanair,TRV,Travel,Expense,-6.05,Direct Debit
1/31/24 8:22,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-25.19,Card
1/31/24 9:59,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-49.5,Card
1/31/24 12:24,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-6.93,Direct Debit
2/1/24 9:00,Monthly Salary,Tech Solutions Ltd,SAL,Salary,Income,3500,Bank Transfer
2/1/24 11:33,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.65,Mobile Payment
2/1/24 18:35,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-8.64,Mobile Payment
2/2/24 7:55,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-18.18,Mobile Payment
2/2/24 8:30,Monthly Apartment Rent,City Apartments,RNT,Rent,Expense,-1200.0,Bank Transfer
2/2/24 10:51,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.55,Direct Debit
2/2/24 17:01,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.58,Card
2/2/24 20:26,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.75,Card
2/3/24 11:03,Travel Purchase,Booking.com,TRV,Travel,Expense,-32.78,Direct Debit
2/3/24 11:17,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-50.63,Direct Debit
2/3/24 13:57,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-2.15,Direct Debit
2/3/24 16:07,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-18.83,Direct Debit
2/3/24 16:25,Travel Purchase,Ryanair,TRV,Travel,Expense,-7.24,Direct Debit
2/4/24 7:24,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-2.11,Direct Debit
2/4/24 13:08,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-16.29,Mobile Payment
2/4/24 16:19,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.65,Card
2/4/24 18:16,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.63,Card
2/4/24 22:43,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-22.22,Mobile Payment
2/5/24 11:47,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-45.28,Mobile Payment
2/5/24 15:49,Medical Purchase,Pharmacy,MED,Medical,Expense,-11.04,Mobile Payment
2/6/24 7:09,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-2.74,Card
2/7/24 9:20,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-19.26,Direct Debit
2/7/24 9:36,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-36.68,Card
2/7/24 13:32,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-27.35,Card
2/7/24 16:21,Travel Purchase,Booking.com,TRV,Travel,Expense,-33.74,Direct Debit
2/7/24 16:42,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-27.71,Mobile Payment
2/7/24 19:32,Travel Purchase,Booking.com,TRV,Travel,Expense,-34.23,Mobile Payment
2/8/24 21:59,Travel Purchase,Booking.com,TRV,Travel,Expense,-32.58,Mobile Payment
2/9/24 7:49,Travel Purchase,Booking.com,TRV,Travel,Expense,-32.64,Card
2/9/24 13:33,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.63,Mobile Payment
2/9/24 22:07,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.2,Mobile Payment
2/10/24 7:16,Medical Purchase,Pharmacy,MED,Medical,Expense,-9.82,Mobile Payment
2/10/24 12:21,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-19.05,Direct Debit
2/10/24 14:55,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-6.97,Mobile Payment
2/10/24 16:53,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-7.26,Direct Debit
2/10/24 18:03,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-6.83,Card
2/11/24 8:41,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-5.7,Card
2/12/24 16:38,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.71,Card
2/12/24 21:43,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.79,Direct Debit
2/12/24 22:36,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-55.16,Direct Debit
2/13/24 8:58,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-7.08,Mobile Payment
2/13/24 10:53,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-21.9,Direct Debit
2/13/24 11:41,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-8.75,Mobile Payment
2/13/24 19:32,Travel Purchase,Booking.com,TRV,Travel,Expense,-36.22,Card
2/14/24 11:24,Travel Purchase,Booking.com,TRV,Travel,Expense,-38.93,Mobile Payment
2/14/24 17:29,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-45.52,Mobile Payment
2/15/24 11:19,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-18.48,Mobile Payment
2/15/24 14:34,Travel Purchase,Ryanair,TRV,Travel,Expense,-8.33,Card
2/15/24 17:45,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-6.55,Card
2/15/24 18:35,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.54,Direct Debit
2/15/24 19:44,Medical Purchase,Pharmacy,MED,Medical,Expense,-9.77,Mobile Payment
2/16/24 7:30,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-28.55,Direct Debit
2/17/24 10:37,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-27.3,Mobile Payment
2/17/24 13:03,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-8.18,Mobile Payment
2/17/24 13:55,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-26.43,Mobile Payment
2/17/24 14:43,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-18.0,Card
2/17/24 16:20,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-8.63,Direct Debit
2/17/24 18:52,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-19.71,Direct Debit
2/17/24 19:32,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-35.59,Direct Debit
2/17/24 19:36,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-17.54,Mobile Payment
2/17/24 20:06,Travel Purchase,Ryanair,TRV,Travel,Expense,-6.93,Card
2/17/24 20:53,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-43.37,Card
2/17/24 21:06,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-35.45,Mobile Payment
2/17/24 21:40,Travel Purchase,Ryanair,TRV,Travel,Expense,-6.89,Card
2/17/24 22:42,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.39,Card
2/18/24 8:00,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-24.84,Card
2/19/24 14:00,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-23.27,Direct Debit
2/19/24 21:11,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-6.33,Card
2/20/24 8:36,Medical Purchase,Pharmacy,MED,Medical,Expense,-10.92,Direct Debit
2/20/24 8:41,Medical Purchase,Pharmacy,MED,Medical,Expense,-9.2,Card
2/20/24 10:43,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-18.25,Direct Debit
2/20/24 13:40,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-35.14,Card
2/20/24 13:58,Medical Purchase,Pharmacy,MED,Medical,Expense,-12.37,Direct Debit
2/20/24 17:50,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-19.01,Direct Debit
2/20/24 18:34,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-20.09,Direct Debit
2/20/24 21:31,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.53,Card
2/21/24 8:28,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-23.03,Card
2/21/24 11:00,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-22.44,Direct Debit
2/21/24 15:41,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-3.09,Direct Debit
2/21/24 16:39,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-14.86,Direct Debit
2/22/24 7:36,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-2.56,Direct Debit
2/22/24 9:24,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-23.41,Mobile Payment
2/22/24 10:20,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-28.22,Card
2/22/24 12:04,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-15.0,Mobile Payment
2/22/24 16:54,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-7.06,Mobile Payment
2/22/24 19:26,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.81,Card
2/23/24 11:16,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.65,Card
2/23/24 20:58,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-2.89,Mobile Payment
2/24/24 10:52,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-54.27,Card
2/24/24 10:58,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-25.18,Direct Debit
2/24/24 16:50,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-34.43,Direct Debit
2/24/24 17:15,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.36,Card
2/24/24 20:14,Travel Purchase,Booking.com,TRV,Travel,Expense,-39.71,Mobile Payment
2/24/24 20:34,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-51.84,Card
2/25/24 8:50,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.84,Direct Debit
2/25/24 9:30,Travel Purchase,Ryanair,TRV,Travel,Expense,-7.61,Mobile Payment
2/25/24 14:30,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-7.26,Mobile Payment
2/25/24 20:02,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-24.17,Mobile Payment
2/26/24 7:08,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-22.94,Card
2/26/24 16:55,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-15.6,Mobile Payment
2/26/24 22:38,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-56.97,Mobile Payment
2/27/24 8:53,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.56,Mobile Payment
2/27/24 10:33,Medical Purchase,Pharmacy,MED,Medical,Expense,-11.79,Mobile Payment
2/27/24 22:44,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-25.46,Mobile Payment
2/28/24 7:54,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-17.97,Card
2/28/24 10:34,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-28.32,Direct Debit
2/28/24 13:29,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-36.54,Card
2/28/24 13:57,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-19.33,Mobile Payment
2/28/24 17:21,Travel Purchase,Ryanair,TRV,Travel,Expense,-7.51,Card
2/28/24 18:28,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-22.27,Mobile Payment
2/28/24 21:07,Medical Purchase,Pharmacy,MED,Medical,Expense,-9.84,Mobile Payment
2/29/24 15:04,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-23.76,Card
2/29/24 16:01,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-7.15,Direct Debit
2/29/24 18:35,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.47,Mobile Payment
2/29/24 19:18,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.89,Mobile Payment
3/1/24 7:21,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-6.95,Card
3/1/24 9:00,Monthly Salary,Tech Solutions Ltd,SAL,Salary,Income,3500,Bank Transfer
3/1/24 13:51,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-7.39,Direct Debit
3/1/24 14:28,Travel Purchase,Ryanair,TRV,Travel,Expense,-8.62,Card
3/1/24 15:02,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-35.23,Card
3/1/24 16:07,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.5,Mobile Payment
3/2/24 7:45,Travel Purchase,Ryanair,TRV,Travel,Expense,-5.88,Direct Debit
3/2/24 8:30,Monthly Apartment Rent,City Apartments,RNT,Rent,Expense,-1200.0,Bank Transfer
3/2/24 15:09,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-6.63,Direct Debit
3/2/24 18:36,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-54.6,Card
3/3/24 7:03,Travel Purchase,Booking.com,TRV,Travel,Expense,-40.04,Card
3/3/24 8:29,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-27.27,Direct Debit
3/3/24 18:21,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-31.71,Mobile Payment
3/3/24 19:23,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.7,Card
3/4/24 11:19,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-21.66,Mobile Payment
3/4/24 13:37,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-14.01,Direct Debit
3/4/24 16:26,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-3.0,Mobile Payment
3/4/24 19:22,Utilities Purchase,EDF Energy,UTL,Utilities,Expense,-22.95,Card
3/4/24 21:07,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-23.27,Direct Debit
3/4/24 21:19,Travel Purchase,Ryanair,TRV,Travel,Expense,-5.86,Direct Debit
3/4/24 21:29,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-7.44,Card
3/5/24 9:15,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-20.16,Direct Debit
3/5/24 11:33,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-18.92,Mobile Payment
3/5/24 13:08,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-8.23,Card
3/5/24 13:09,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-33.32,Direct Debit
3/5/24 15:22,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-2.81,Direct Debit
3/5/24 16:13,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.81,Mobile Payment
3/5/24 21:16,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-20.56,Mobile Payment
3/5/24 22:14,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.98,Direct Debit
3/6/24 22:45,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-27.67,Mobile Payment
3/7/24 12:12,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.27,Direct Debit
3/7/24 12:55,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-13.51,Card
3/7/24 13:55,Travel Purchase,Booking.com,TRV,Travel,Expense,-35.49,Direct Debit
3/7/24 14:18,Medical Purchase,Pharmacy,MED,Medical,Expense,-10.58,Direct Debit
3/7/24 19:34,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-16.03,Mobile Payment
3/7/24 22:13,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.42,Mobile Payment
3/8/24 12:38,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-48.13,Mobile Payment
3/9/24 11:26,Travel Purchase,Ryanair,TRV,Travel,Expense,-8.44,Mobile Payment
3/9/24 15:11,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-7.12,Direct Debit
3/9/24 15:46,Travel Purchase,Booking.com,TRV,Travel,Expense,-32.26,Card
3/9/24 19:04,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-5.19,Mobile Payment
3/10/24 7:16,Travel Purchase,Booking.com,TRV,Travel,Expense,-30.58,Mobile Payment
3/10/24 10:09,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-22.84,Direct Debit
3/10/24 10:54,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-2.5,Direct Debit
3/10/24 20:23,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-7.49,Direct Debit
3/10/24 20:58,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-24.77,Mobile Payment
